Response ID,Name,Email,Score,Asset Title,Comment,Response Timestamp,Notes,Tags,access_level,company_id,company_name,crm,Delighted Browser,Delighted Country,Delighted Device Type,Delighted Operating System,Delighted Page,Delighted Page URL,Delighted Referrer URL,Delighted Source,Delighted Visitor Type,deployment_id,domain,financial_visibility,industry_template,manager,monthly_spend,pro_users,product,projects,psa,retainers,service
115439005,John Smith,email1@domain.com,0,0,,2/24/2020 2:56,,,professional,194190,Solutions Simple,premium,Firefox,Denmark,Desktop,Windows,User Dashboard,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Marie Barker,999,30,psa,premium,,premium,premium
115435153,Jane Smith,email2@domain.com,2,0,,2/24/2020 1:19,,,professional,199938,Kaiser,,Chrome,Germany,Desktop,Mac,Weekly Timesheet,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Marie Barker,888,95,mixed,premium,,,
115431073,Jane Smith,email1@domain.com,3,0,"Very slow, convoluted, several errors.",2/23/2020 23:36,,,professional,175217,Prosperation Group,premium,Chrome,United States,Desktop,Windows,Stream,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,digital-marketing,Marie Barker,777,48,psa,premium,,premium,premium
115393412,Jane Smith,email2@domain.com,0,0,,2/23/2020 14:14,,,professional,180972,Extensive Heritage,plus,Chrome,Australia,Desktop,Windows,Stream,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,other,Amy Stewart,666,53,mixed,premium,,,
115393239,Plamen | Verve?,email1@domain.com,0,0,,2/23/2020 14:12,,,professional,152975,Verve Designs,premium,Firefox,United Kingdom,Desktop,Windows,View Task:,deployment.accelo.com,deployment.accelo.com,Web,,,deployment.accelo.com,,web-design,Clay Hagen,555,10,psa,premium,,premium,premium
115330842,John Smith,email2@domain.com,0,0,,2/22/2020 23:12,,,professional,183460,IP Solutions,premium,Chrome,Australia,Desktop,Windows,Manager Dashboard,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,engineering,Tom Ryan,444,21,psa,premium,,premium,premium
115325077,John Smith,email1@domain.com,2,0,,2/22/2020 20:40,,,professional,155747,IT Engineering,premium,Chrome,New Zealand,Desktop,Windows,User Dashboard,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,it-consulting,Marie Barker,333,21,psa,premium,,premium,premium
115187116,John Smith,email2@domain.com,3,0,,2/21/2020 11:06,,,professional,194819,Round Marketing,premium,Chrome,United States,Desktop,Mac,Daily Timesheet,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,digital-marketing,Anna Wagener,222,41,psa,premium,,premium,premium
115183938,John Smith,email1@domain.com,4,0,slow,2/21/2020 10:33,,,professional,169970,Ztable,premium,Chrome,United States,Desktop,Windows,Task Board,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,digital-marketing,Tom Ryan,111,39,psa,premium,,premium,premium
115181011,Jane Smith,email2@domain.com,0,0,,2/21/2020 10:05,,,professional,175042,Jonathan Creative,plus,Chrome,United States,Desktop,Windows,Task Board,deployment.accelo.com,deployment.accelo.com,Web,Returning,,deployment.accelo.com,,other,Andrew Carter,0,6,psa,plus,,plus,plus
